Name,ID,Mobile URL,Image URL,Image URL Hi,Price,Sale Price,Euro Price,Euro Sale Price,New Item,Position,Category Name,Description,Colors,Mobile URL Colors,Sizes,Stock Levels
Small Box Tee,307015,https://www.supremenewyork.com/mobile/#products/307015,https://assets.supremenewyork.com/245742/ca/8JcJmCCVAWw.jpg,https://assets.supremenewyork.com/245742/rc/8JcJmCCVAWw.jpg,52.00,0.00,60.00,0.00,False,28,Tops/Sweaters,All cotton jersey crewneck with embroidered logo patch on chest.,"Branch Woodland Camo,Brown,Magenta,Navy,White,Teal,Black,Ash Grey","'https://www.supremenewyork.com/mobile/#products/307015/36603', 'https://www.supremenewyork.com/mobile/#products/307015/36608', 'https://www.supremenewyork.com/mobile/#products/307015/36602', 'https://www.supremenewyork.com/mobile/#products/307015/36605', 'https://www.supremenewyork.com/mobile/#products/307015/36606', 'https://www.supremenewyork.com/mobile/#products/307015/36604', 'https://www.supremenewyork.com/mobile/#products/307015/36607', 'https://www.supremenewyork.com/mobile/#products/307015/36601'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 1, 'END OF STOCK FOR Branch Woodland Camo', 1, 1, 1, 1, 0, 'END OF STOCK FOR Brown', 1, 1, 1, 1, 0, 'END OF STOCK FOR Magenta', 0, 0, 1, 1, 0, 'END OF STOCK FOR Navy', 0, 1, 1, 1, 0, 'END OF STOCK FOR White', 1, 1, 1, 1, 0, 'END OF STOCK FOR Teal', 0, 1, 1, 1, 0, 'END OF STOCK FOR Black', 0, 1, 1, 1, 0, 'END OF STOCK FOR Ash Grey'"
Supreme®/Mitchell & Ness® <br>Football Jersey,307060,https://www.supremenewyork.com/mobile/#products/307060,https://d17ol771963kd3.cloudfront.net/245719/ca/tg080Eenbu4.jpg,https://assets.supremenewyork.com/245719/rc/tg080Eenbu4.jpg,118.00,0.00,138.00,0.00,False,29,Tops/Sweaters,Poly jersey with stripe rib collar. Vinyl logo appliqué at chest and sleeve with graphic appliqué at back. Woven logo label at lower front. Made exclusively for Supreme.,"Black,White,Brown","'https://www.supremenewyork.com/mobile/#products/307060/36777', 'https://www.supremenewyork.com/mobile/#products/307060/36776', 'https://www.supremenewyork.com/mobile/#products/307060/36775'","Small,Medium,Large,XLarge,XXL","0, 0, 0, 0, 0, 'END OF STOCK FOR Black', 0, 0, 0, 0, 0, 'END OF STOCK FOR White', 0, 1, 1, 1, 0, 'END OF STOCK FOR Brown'"
Mock Neck L/S Top,306999,https://www.supremenewyork.com/mobile/#products/306999,https://d17ol771963kd3.cloudfront.net/245812/ca/CuT64gkICYo.jpg,https://assets.supremenewyork.com/245812/rc/CuT64gkICYo.jpg,68.00,0.00,78.00,0.00,False,30,Tops/Sweaters,All cotton jersey mock neck with embroidered logo on chest.,"Bright Pink,Dark Navy,Dark Tan,Black,White,Dark Green","'https://www.supremenewyork.com/mobile/#products/306999/36549', 'https://www.supremenewyork.com/mobile/#products/306999/36550', 'https://www.supremenewyork.com/mobile/#products/306999/36551', 'https://www.supremenewyork.com/mobile/#products/306999/36554', 'https://www.supremenewyork.com/mobile/#products/306999/36553', 'https://www.supremenewyork.com/mobile/#products/306999/36552'","Small,Medium,Large,XLarge,XXL","0, 1, 1, 1, 0, 'END OF STOCK FOR Bright Pink', 0, 1, 1, 1, 0, 'END OF STOCK FOR Dark Navy', 1, 1, 1, 1, 1, 'END OF STOCK FOR Dark Tan', 1, 1, 1, 1, 1, 'END OF STOCK FOR Black', 0, 1, 1, 1, 1, 'END OF STOCK FOR White', 1, 1, 1, 1, 0, 'END OF STOCK FOR Dark Green'"
Supreme®/Yohji Yamamoto® <br>Paint Tee,307100,https://www.supremenewyork.com/mobile/#products/307100,https://d17ol771963kd3.cloudfront.net/248804/ca/LZcBgrBGl6o.jpg,https://assets.supremenewyork.com/248804/rc/LZcBgrBGl6o.jpg,50.00,0.00,58.00,0.00,True,31,T-Shirts,All cotton classic Supreme t-shirt with printed graphic on front. Printed logos at hem.,"Black,White","'https://www.supremenewyork.com/mobile/#products/307100/36909', 'https://www.supremenewyork.com/mobile/#products/307100/36910'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 1, 'END OF STOCK FOR Black', 1, 1, 1, 1, 1, 'END OF STOCK FOR White'"
Supreme®/Yohji Yamamoto® <br>Pumpkin Tee,307117,https://www.supremenewyork.com/mobile/#products/307117,https://d17ol771963kd3.cloudfront.net/248807/ca/Tzos73Bqd-o.jpg,https://assets.supremenewyork.com/248807/rc/Tzos73Bqd-o.jpg,50.00,0.00,58.00,0.00,True,32,T-Shirts,All cotton classic Supreme t-shirt with printed graphic on front. Printed logos at hem.,"Black,White","'https://www.supremenewyork.com/mobile/#products/307117/36952', 'https://www.supremenewyork.com/mobile/#products/307117/36953'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 1, 'END OF STOCK FOR Black', 1, 1, 1, 1, 1, 'END OF STOCK FOR White'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Tee,307114,https://www.supremenewyork.com/mobile/#products/307114,https://d17ol771963kd3.cloudfront.net/248800/ca/U34-mzZQ57E.jpg,https://assets.supremenewyork.com/248800/rc/U34-mzZQ57E.jpg,50.00,0.00,58.00,0.00,True,33,T-Shirts,All cotton classic Supreme t-shirt with printed graphic on front. Printed logos at hem. Original artwork from TEKKEN™.,"White,Black","'https://www.supremenewyork.com/mobile/#products/307114/36941', 'https://www.supremenewyork.com/mobile/#products/307114/36942'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 0, 'END OF STOCK FOR White', 1, 1, 1, 1, 0, 'END OF STOCK FOR Black'"
Supreme®/Yohji Yamamoto® Suit,307106,https://www.supremenewyork.com/mobile/#products/307106,https://d17ol771963kd3.cloudfront.net/248832/ca/5I-T2RXkLUo.jpg,https://assets.supremenewyork.com/248832/rc/5I-T2RXkLUo.jpg,798.00,0.00,898.00,0.00,True,1,Jackets,"Lightweight wool with printed graphic and viscose lining. Jacket with double welt hand pockets at hip and chest. Three interior welt pockets. Embroidered logos on back shoulder. Half-lined trousers with button closure, zip fly and elastic waistband with interior drawcord. On seam hand pockets and back pockets with button closure. Embroidered logos at back pocket.",Black,'https://www.supremenewyork.com/mobile/#products/307106/36923',"Small,Medium,Large,XLarge","1, 1, 1, 1, 'END OF STOCK FOR Black'"
Supreme®/Yohji Yamamoto®/<br>Vanson Leathers® Split Jacket,307095,https://www.supremenewyork.com/mobile/#products/307095,https://d17ol771963kd3.cloudfront.net/248885/ca/YJ5swgK1PiI.jpg,https://assets.supremenewyork.com/248885/rc/YJ5swgK1PiI.jpg,2198.00,0.00,2598.00,0.00,True,2,Jackets,"Custom fit competition weight cowhide leather with rayon twill lining. Full zip closure with double welt zip hand pockets at lower front and interior chest pockets. Snap band closure at collar and zip openings at cuffs. Leather logo appliqué at chest, sleeves and back. Embroidered logo patches on chest and sleeve. Made exclusively for Supreme.","Green,White","'https://www.supremenewyork.com/mobile/#products/307095/36899', 'https://www.supremenewyork.com/mobile/#products/307095/36898'","Small,Medium,Large,XLarge,XXL","0, 1, 0, 0, 0, 'END OF STOCK FOR Green', 0, 0, 0, 0, 0, 'END OF STOCK FOR White'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Puffer Parka,307111,https://www.supremenewyork.com/mobile/#products/307111,https://d17ol771963kd3.cloudfront.net/248899/ca/qEsM8evb97Q.jpg,https://assets.supremenewyork.com/248899/rc/qEsM8evb97Q.jpg,428.00,0.00,498.00,0.00,True,3,Jackets,Water resistant nylon with down insulated quilted baffles and lining. Snap front closure with double welt zip hand pockets at lower front. Patch pocket at chest and interior chest pockets. Removable hood with interior elastic shockcord. Printed logos on back. Original artwork from TEKKEN™. ,"Black,Royal","'https://www.supremenewyork.com/mobile/#products/307111/36935', 'https://www.supremenewyork.com/mobile/#products/307111/36936'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 1, 'END OF STOCK FOR Black', 1, 1, 1, 1, 0, 'END OF STOCK FOR Royal'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Nylon Bomber Jacket,307118,https://www.supremenewyork.com/mobile/#products/307118,https://d17ol771963kd3.cloudfront.net/248903/ca/YWg5U5GdxW4.jpg,https://assets.supremenewyork.com/248903/rc/YWg5U5GdxW4.jpg,318.00,0.00,348.00,0.00,True,4,Jackets,"Water resistant nylon with fill and nylon lining. Full zip closure with welt hand pockets at lower front, double welt zip pockets at cuffs and interior chest pocket. Knit rib collar and cuffs with size adjusters at hem. Printed graphics on front and back. Printed logos on back shoulder. Original artwork from TEKKEN™. ","Natural,Black","'https://www.supremenewyork.com/mobile/#products/307118/36954', 'https://www.supremenewyork.com/mobile/#products/307118/36955'","Small,Medium,Large,XLarge,XXL","0, 0, 0, 0, 0, 'END OF STOCK FOR Natural', 0, 0, 0, 0, 0, 'END OF STOCK FOR Black'"
Supreme®/Yohji Yamamoto® Baja Jacket,307103,https://www.supremenewyork.com/mobile/#products/307103,https://d17ol771963kd3.cloudfront.net/248874/ca/ArMedNqweBw.jpg,https://assets.supremenewyork.com/248874/rc/ArMedNqweBw.jpg,228.00,0.00,268.00,0.00,True,5,Jackets,Wool blend with full zip closure and pouch pocket at lower front. Printed logos on chest and back.,"Red,Blue","'https://www.supremenewyork.com/mobile/#products/307103/36913', 'https://www.supremenewyork.com/mobile/#products/307103/36914'","Small,Medium,Large,XLarge,XXL","0, 0, 0, 0, 0, 'END OF STOCK FOR Red', 0, 0, 0, 0, 0, 'END OF STOCK FOR Blue'"
Cotton Utility Jacket,307068,https://www.supremenewyork.com/mobile/#products/307068,https://d17ol771963kd3.cloudfront.net/244401/ca/Fdrf6B2qK0c.jpg,https://assets.supremenewyork.com/244401/rc/Fdrf6B2qK0c.jpg,178.00,0.00,198.00,0.00,False,6,Jackets,Two-layer cotton with cowhide leather collar and full zip closure. Double welt hand pockets and patch pockets at lower front. Velcro flap patch pocket at chest and sleeve with interior patch pockets. Snap closures at cuffs. Embroidered logos at chest pocket and back. Pinback button included.,"Sulfur,Dusty Lilac,Black","'https://www.supremenewyork.com/mobile/#products/307068/36808', 'https://www.supremenewyork.com/mobile/#products/307068/36810', 'https://www.supremenewyork.com/mobile/#products/307068/36809'","Small,Medium,Large,XLarge","1, 1, 1, 1, 'END OF STOCK FOR Sulfur', 1, 1, 1, 0, 'END OF STOCK FOR Dusty Lilac', 0, 1, 1, 0, 'END OF STOCK FOR Black'"
