Name,ID,Image URL,Image URL Hi,Price,Sale Price,New Item,Position,Category Name,Description,Colors
Braces Tee,175275,assets.supremenewyork.com/247637/ca/R8p1v2SGarc.jpg,assets.supremenewyork.com/247637/rc/R8p1v2SGarc.jpg,40.00,0.00,False,33,T-Shirts,All cotton classic Supreme t-shirt with printed graphic on front.,"Black,Green,Brown,Light Pink,Eggplant,White"
Elephant Tee,175311,assets.supremenewyork.com/247643/ca/AUblk5j7LG4.jpg,assets.supremenewyork.com/247643/rc/AUblk5j7LG4.jpg,40.00,0.00,False,34,T-Shirts,All cotton classic Supreme t-shirt with printed graphic on front. Original artwork by Shaun Crawford.,"Green,White,Brown,Magenta,Black,Heather Grey"
Wombat Tee,175305,assets.supremenewyork.com/247647/ca/8GuyJmQIwY8.jpg,assets.supremenewyork.com/247647/rc/8GuyJmQIwY8.jpg,40.00,0.00,False,35,T-Shirts,All cotton classic Supreme t-shirt with printed logos on front. Original artwork by Wombat. ,"Black,Dusty Blue,Brown,Light Pink,White"
Supreme®/Nike® ACG Denim Pullover,175363,assets.supremenewyork.com/248433/ca/IGtLlzASDbI.jpg,assets.supremenewyork.com/248433/rc/IGtLlzASDbI.jpg,298.00,0.00,True,0,Jackets,"Water resistant Cordura® cotton denim with taffeta lining and half zip closure. Welt pouch pocket at lower front, zip chest pockets and interior chest pocket. Interior elastic shockcord at fixed hood and hem with elastic cuffs. Embroidered logos at hood, chest and back neck. Made exclusively for Supreme.","Gold Snakeskin,Washed Blue,Black"
Supreme®/Nike® ACG Fleece Pullover,175358,assets.supremenewyork.com/248484/ca/K3gwgxgCia0.jpg,assets.supremenewyork.com/248484/rc/K3gwgxgCia0.jpg,238.00,0.00,True,1,Jackets,"Polar fleece with nylon ripstop panels. Zip pouch pocket with velcro flaps at lower front. Elastic binding at facemask hood, cuffs and hem. Woven logo labels at chest and back neck tab. Embroidered logos at hood and back hem. Made exclusively for Supreme.","Mint Snakeskin,Black,Gold Snakeskin"
2-Tone Paneled Denim Jacket,175279,assets.supremenewyork.com/244228/ca/H9mwLGIMq04.jpg,assets.supremenewyork.com/244228/rc/H9mwLGIMq04.jpg,198.00,0.00,False,7,Jackets,All cotton 13 oz. denim with contrast panels and button front closure. Welt hand pockets at lower front with patch pockets at chest. Tab adjusters at cuffs and back hem with leather logo patch. Embroidered logo on left pocket. ,"Black,Red,Brown"
Cotton Utility Jacket,175345,assets.supremenewyork.com/244401/ca/Fdrf6B2qK0c.jpg,assets.supremenewyork.com/244401/rc/Fdrf6B2qK0c.jpg,198.00,0.00,False,8,Jackets,Two-layer cotton with cowhide leather collar and full zip closure. Double welt hand pockets and patch pockets at lower front. Velcro flap patch pocket at chest and sleeve with interior patch pockets. Snap closures at cuffs. Embroidered logos at chest pocket and back. Pinback button included.,"Sulfur,Black,Dusty Lilac"
Gonz GORE-TEX Shell Jacket,175312,assets.supremenewyork.com/247683/ca/e8wyOE6zpbg.jpg,assets.supremenewyork.com/247683/rc/e8wyOE6zpbg.jpg,498.00,0.00,False,9,Jackets,"Waterproof, breathable GORE-TEX poly shell with taped seams. Full zip closure with zip pockets at front and sleeve. Interior elastic shockcord at fixed hood and hem with velcro tab adjusters at cuffs. Embroidered logos at hood, hem and sleeve. Welded and bonded graphic appliqué with printed logo at back. Original artwork by Mark Gonzales.","Desert Camo,Black,Yellow"
Studded Velour Track Jacket,175353,assets.supremenewyork.com/244117/ca/A8iIHGFnQ8M.jpg,assets.supremenewyork.com/244117/rc/A8iIHGFnQ8M.jpg,148.00,0.00,False,10,Jackets,Cotton blend velour with full zip closure. Welt zip hand pockets at lower front with elastic cuffs and hem. Metal studs at shoulders and sleeves. Embroidered logo on chest. ,"Burgundy,Black,Olive"
Fire Zip Up Hooded Sweatshirt,175359,assets.supremenewyork.com/245568/ca/KQ_KWtWyeUI.jpg,assets.supremenewyork.com/245568/rc/KQ_KWtWyeUI.jpg,188.00,0.00,True,17,Sweatshirts,"Brushed-back fleece with printed graphic, pouch pocket and full zip closure. Embroidered logo on chest. Original artwork by Enoc Perez.",Multicolor
